SubCode,financial_years,label,primary_worksheet,num_years
FIN0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating income of discontinued operations,TAC11 Finance & other,5
FIN0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating expenses of discontinued operations,TAC11 Finance & other,5
SCI0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Finance income,TAC02 SoCI,5
SCI0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Finance expense,TAC02 SoCI,5
SCI0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",PDC dividend expense,TAC02 SoCI,5
SCI0180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NET FINANCE COSTS,TAC02 SoCI,5
SCI0190A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other gains/(losses),TAC02 SoCI,5
SCI0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Share of profit/(loss) of associates/ joint ventures,TAC02 SoCI,5
SCI0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gains/(losses) from transfers by absorption,TAC02 SoCI,5
SCI0220A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on investment properties,TAC11 Finance & other,5
SCF0340,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash transferred to NHS foundation trust upon authorisation as FT,TAC05 SoCF,5
SCF0345,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash and cash equivalents at start of period for new FTs,TAC05 SoCF,5
SCF0350,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash and cash equivalents transferred by absorption,TAC05 SoCF,5
SCF0355,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash and cash equivalents at 31 March,TAC05 SoCF,5
SCI0100A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating income from patient care activities,TAC02 SoCI,5
SCI0110A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other operating income,TAC02 SoCI,5
SCI0125A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating expenses,TAC02 SoCI,5
SCI0140A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",OPERATING SURPLUS / (DEFICIT),TAC02 SoCI,5
SCF0305,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",PDC dividend (paid)/refunded,TAC05 SoCF,5
SCF0310,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash flows from (used in) other financing activities,TAC05 SoCF,5
SCF0310A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash flows attributable to financing activities of discontinued operations,TAC05 SoCF,5
SCF0315,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Net cash generated from/(used in) financing activities,TAC05 SoCF,5
SCF0320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Increase/(decrease) in cash and cash equivalents,TAC05 SoCF,5
SCF0325,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash and cash equivalents at 1 April - restated,TAC05 SoCF,5
SCF0325A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash and cash equivalents at 1 April - brought forward,TAC05 SoCF,5
SCF0325B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prior period adjustments,TAC05 SoCF,5
SCF0275,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other capital receipts,TAC05 SoCF,5
SCF0280,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Capital element of finance lease rental payments,TAC05 SoCF,5
SCF0285,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Capital element of PFI, LIFT and other service concession payments",TAC05 SoCF,5
SCF0290A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on DHSC loans,TAC05 SoCF,5
SCF0290B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other interest (e.g. overdrafts),TAC05 SoCF,5
SCF0290C,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on other loans,TAC05 SoCF,5
SCF0295,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest element of finance lease,TAC05 SoCF,5
SCF0300,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Interest element of PFI, LIFT and other service concession obligations",TAC05 SoCF,5
SCF0226,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prepayment of PFI capital contributions (cash payments),TAC05 SoCF,5
SCF0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash movement from acquisitions of business units and subsidiaries (not absorption transfers),TAC05 SoCF,5
SCF0235,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash movement from disposals of business units and subsidiaries (not absorption transfers),TAC05 SoCF,5
SCF0235A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash flows attributable to investing activities of discontinued operations,TAC05 SoCF,5
SCF0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Net cash generated from/(used in) investing activities,TAC05 SoCF,5
SCF0245,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Public dividend capital received,TAC05 SoCF,5
SCF0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Public dividend capital repaid,TAC05 SoCF,5
SCF0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Purchase of intangible assets,TAC05 SoCF,5
SCF0205,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Proceeds from sales of intangible assets,TAC05 SoCF,5
SCF0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Purchase of property, plant and equipment and investment property",TAC05 SoCF,5
SCF0215,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Proceeds from sales of property, plant and equipment and investment property",TAC05 SoCF,5
SCF0220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Receipt of cash donations to purchase capital assets,TAC05 SoCF,5
SCF0165,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Increase/(decrease) in provisions,TAC05 SoCF,5
SCF0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Corporation tax (paid) / received,TAC05 SoCF,5
SCF0175A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movements in operating cash flows of discontinued operations,TAC05 SoCF,5
SCF0175B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other movements in operating cash flows,TAC05 SoCF,5
SCF0180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Net cash generated from / (used in) operations,TAC05 SoCF,5
SCF0185,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest received,TAC05 SoCF,5
SCF0190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Purchase of financial assets / investments,TAC05 SoCF,5
SCF0195,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Proceeds from sales / settlements of financial assets / investments,TAC05 SoCF,5
SCF0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Income recognised in respect of capital donations (cash and non-cash),TAC05 SoCF,5
SCF0125,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Amortisation of PFI deferred income / credit,TAC05 SoCF,5
SCF0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",On SoFP pension liability - employer contributions paid less net charge to the SOCI,TAC05 SoCF,5
SCF0135,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",(Increase)/decrease in receivables,TAC05 SoCF,5
SCF0140A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",(Increase)/decrease in other assets,TAC05 SoCF,5
SCF0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",(Increase)/decrease in inventories,TAC05 SoCF,5
SCF0155,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Increase/(decrease) in trade and other payables,TAC05 SoCF,5
SCF0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Increase/(decrease) in other liabilities,TAC05 SoCF,5
INC0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",High cost drugs income from commissioners,TAC06 Op Inc 1,5
INC0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other NHS clinical income,TAC06 Op Inc 1,5
IMP0055,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total impairments and (reversals),TAC12 Impairment,5
IMP0025,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Unforeseen obsolescence,TAC12 Impairment,5
IMP0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Loss as a result of a catastrophe,TAC12 Impairment,5
IMP0035,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other,TAC12 Impairment,5
IMP0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Changes in market price,TAC12 Impairment,5
IMP0044,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments of charitable fund assets,TAC12 Impairment,5
IMP0045,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total impairments and (reversals) charged to operating surplus / deficit,TAC12 Impairment,5
IMP0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total net impairments charged to revaluation reserve,TAC12 Impairment,5
IMP0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Loss or damage resulting from normal operations,TAC12 Impairment,5
IMP0015,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Over specification of assets,TAC12 Impairment,5
IMP0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Abandonment of assets in the course of construction,TAC12 Impairment,5
INC1180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Non NHS: overseas patients (non-reciprocal, chargeable to patient)",TAC06 Op Inc 1,5
INC1190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Injury cost recovery scheme,TAC06 Op Inc 1,5
INC1200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Non NHS: other,TAC06 Op Inc 1,5
INC1220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total income from patient care activities,TAC06 Op Inc 1,5
INC1230A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Research and development (IFRS 15),TAC07 Op Inc 2,5
INC1230B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Research and development (non-IFRS 15 e.g. IAS 20),TAC07 Op Inc 2,5
INC1240A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Education and training (excluding notional apprenticeship levy income),TAC07 Op Inc 2,5
INC1240B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Education and training - notional income from apprenticeship fund,TAC07 Op Inc 2,5
INC1110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Clinical commissioning groups,TAC06 Op Inc 1,5
INC1120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS Foundation Trusts,TAC06 Op Inc 1,5
INC1130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS Trusts,TAC06 Op Inc 1,5
INC1140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Local authorities,TAC06 Op Inc 1,5
INC1150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Department of Health and Social Care,TAC06 Op Inc 1,5
INC1160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS other (including Public Health England),TAC06 Op Inc 1,5
INC1170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Non NHS: private patients,TAC06 Op Inc 1,5
INC0310,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Income from other sources (e.g. local authorities),TAC06 Op Inc 1,5
INC0330,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Private patient income,TAC06 Op Inc 1,5
INC0333,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Additional pension contribution central funding,TAC06 Op Inc 1,5
INC0340,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other clinical income,TAC06 Op Inc 1,5
INC0350,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total income from patient care activities,TAC06 Op Inc 1,5
INC1100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS England,TAC06 Op Inc 1,5
INC0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Clinical partnerships providing mandatory services (including S75 agreements),TAC06 Op Inc 1,5
INC0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Clinical income for the secondary commissioning of mandatory services,TAC06 Op Inc 1,5
INC0260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other clinical income from mandatory services,TAC06 Op Inc 1,5
INC0270,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",A&E income,TAC06 Op Inc 1,5
INC0280,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",PTS income,TAC06 Op Inc 1,5
INC0290,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other income,TAC06 Op Inc 1,5
INC1355,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other (recognised in accordance with standards other than IFRS 15),TAC07 Op Inc 2,5
INC1355A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Amortisation of PFI deferred income / credits,TAC07 Op Inc 2,5
INC1360,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total other operating income,TAC07 Op Inc 2,5
INC1361,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Related to continuing operations,TAC07 Op Inc 2,5
INC1362,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Related to discontinued operations,TAC07 Op Inc 2,5
INC1364,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total income from patient care activities (from TAC06),TAC07 Op Inc 2,5
INC1365,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total operating income,TAC07 Op Inc 2,5
INT0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Valuation / gross cost at 1 April 2018 - brought forward,TAC13 Intangibles,5
INC1320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Income in respect of employee benefits accounted on a gross basis,TAC07 Op Inc 2,5
INC1330A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Rental revenue from finance leases - contingent rent,TAC07 Op Inc 2,5
INC1350,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other (recognised in accordance with IFRS 15),TAC07 Op Inc 2,5
INC1270A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Charitable and other contributions to expenditure - received from NHS charities,TAC07 Op Inc 2,5
INC1270B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Charitable and other contributions to expenditure - received from other bodies,TAC07 Op Inc 2,5
INC1280A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Non-patient care services to other bodies,TAC07 Op Inc 2,5
INC1300,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Support from DHSC for mergers,TAC07 Op Inc 2,5
INC1250A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Donations/grants of physical assets (non-cash) - received from NHS charities,TAC07 Op Inc 2,5
INC1250B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Donations/grants of physical assets (non-cash) - received from other bodies,TAC07 Op Inc 2,5
INC1260A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash donations for the purchase of capital assets - received from NHS charities,TAC07 Op Inc 2,5
INC1260B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash donations for the purchase of capital assets - received from other bodies,TAC07 Op Inc 2,5
INC1260C,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash grants for the purchase of capital assets - received from other bodies,TAC07 Op Inc 2,5
SCE0260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer to FT upon authorisation,TAC04 SOCIE,5
SCE0270,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Taxpayers' and others' equity at 31 March 2019,TAC04 SOCIE,5
SCF0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating surplus/(deficit),TAC05 SoCF,5
SCF0100A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating surplus/(deficit) from continuing operations,TAC05 SoCF,5
SCF0100B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Operating surplus/(deficit) of discontinued operations,TAC05 SoCF,5
SCF0105,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Depreciation and amortisation,TAC05 SoCF,5
SCF0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments and reversals,TAC05 SoCF,5
SCF0115,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Unrealised gains/(losses) on foreign exchange,TAC05 SoCF,5
SCE0180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Remeasurements of defined net benefit pension scheme liability / asset,TAC04 SOCIE,5
SCE0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Public dividend capital received,TAC04 SOCIE,5
SCE0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Public dividend capital repaid,TAC04 SOCIE,5
SCE0220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Public dividend capital written off,TAC04 SOCIE,5
SCE0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other movements in PDC in year,TAC04 SOCIE,5
SCE0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reserves eliminated on dissolution (unlocked on request),TAC04 SOCIE,5
SCE0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other reserve movements,TAC04 SOCIE,5
SCE0255,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other reserve movements - charitable fund consolidation adjustment,TAC04 SOCIE,5
SCE0115,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revaluations and impairments - charitable fund assets,TAC04 SOCIE,5
SCE0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer to retained earnings on disposal of assets,TAC04 SOCIE,5
SCE0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Share of comprehensive income from associates and joint ventures,TAC04 SOCIE,5
SCE0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on financial assets mandated at FV through OCI,TAC04 SOCIE,5
SCE0145,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on equity instruments designated at FV through OCI,TAC04 SOCIE,5
SCE0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Recycling gains/(losses) on disposal of financial assets mandated at FV through OCI,TAC04 SOCIE,5
SCE0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Foreign exchange gains/(losses) recognised directly in OCI,TAC04 SOCIE,5
SCE0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other recognised gains and losses,TAC04 SOCIE,5
SCE0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption: transfers between reserves,TAC04 SOCIE,5
SCE0065,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption: transfers between reserves (charitable fund),TAC04 SOCIE,5
SCE0070,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer from reval reserve to I&E reserve for impairments arising from consumption of economic benefits,TAC04 SOCIE,5
SCE0080,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers between reserves,TAC04 SOCIE,5
SCE0090,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Net impairments,TAC04 SOCIE,5
SCE0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Revaluations - property, plant and equipment",TAC04 SOCIE,5
SCE0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revaluations - intangible assets,TAC04 SOCIE,5
INT0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At start of period for new FTs,TAC13 Intangibles,5
INT0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption,TAC13 Intangibles,5
INT0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Provided during the year,TAC13 Intangibles,5
INT0255,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer of donated assets (non-cash) from consolidated charitable fund to trust,TAC13 Intangibles,5
INT0260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments charged to operating expenses,TAC13 Intangibles,5
INT0270,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments charged to the revaluation reserve,TAC13 Intangibles,5
INT0280,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reversal of impairments credited to operating expenses,TAC13 Intangibles,5
INT0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reclassifications,TAC13 Intangibles,5
INT0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers to/from assets held for sale and assets in disposal groups,TAC13 Intangibles,5
INT0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Disposals/derecognition,TAC13 Intangibles,5
INT0180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer to FT upon authorisation,TAC13 Intangibles,5
INT0190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Valuation/gross cost at 31 March 2019,TAC13 Intangibles,5
INT0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Accumulated amortisation at 1 April 2018 - brought forward,TAC13 Intangibles,5
INT0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prior period adjustment,TAC13 Intangibles,5
INT0220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Accumulated amortisation at 1 April 2018 - restated,TAC13 Intangibles,5
INT0090,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Additions - assets purchased from cash donations/grants,TAC13 Intangibles,5
INT0095,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer of donated assets (non-cash) from consolidated charitable fund to trust,TAC13 Intangibles,5
INT0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments charged to operating expenses,TAC13 Intangibles,5
INT0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments charged to the revaluation reserve,TAC13 Intangibles,5
INT0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reversal of impairments credited to operating expenses,TAC13 Intangibles,5
INT0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reversal of impairments credited to the revaluation reserve,TAC13 Intangibles,5
INT0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revaluations,TAC13 Intangibles,5
INT0145,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Remeasurements - retranslation gains / (losses) on foreign operations,TAC13 Intangibles,5
INT0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prior period adjustment,TAC13 Intangibles,5
INT0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Valuation / gross cost at 1 April 2018 - restated,TAC13 Intangibles,5
INT0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At start of period for new FTs,TAC13 Intangibles,5
INT0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption,TAC13 Intangibles,5
INT0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Additions - purchased / internally generated,TAC13 Intangibles,5
INT0080,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Additions - donations of physical assets (non-cash),TAC13 Intangibles,5
INV0115,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movement in charitable fund inventories,TAC17 Inventories,5
INV0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer to FT upon authorisation,TAC17 Inventories,5
INV0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Carrying value at 31 March 19,TAC17 Inventories,5
INV0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Held at lower of cost and NRV,TAC17 Inventories,5
INV0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Held at fair value less costs to sell,TAC17 Inventories,5
LSP0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","a. theft, fraud etc",TAC29 Losses+SP,5
LSP0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",b. overpayment of salaries etc.,TAC29 Losses+SP,5
LSP0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",c. other causes,TAC29 Losses+SP,5
INV0070,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Inventories consumed (recognised in expenses),TAC17 Inventories,5
INV0080,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Write-down of inventories recognised as an expense,TAC17 Inventories,5
INV0090,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reversal of any write down of inventories,TAC17 Inventories,5
INV0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer (to) / from inventory work in progress,TAC17 Inventories,5
INT0360,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Net book value at 31 March 2019,TAC13 Intangibles,5
INV0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Carrying value  at 1 April 2018,TAC17 Inventories,5
INV0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prior period adjustment,TAC17 Inventories,5
INV0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Carrying value  at 1 April 2018 - restated,TAC17 Inventories,5
INV0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At start of period for new FTs,TAC17 Inventories,5
INV0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption,TAC17 Inventories,5
INV0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Additions,TAC17 Inventories,5
INT0290,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reversal of impairments credited to the revaluation reserve,TAC13 Intangibles,5
INT0300,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revaluations,TAC13 Intangibles,5
INT0305,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Remeasurements - retranslation gains / (losses) on foreign operations,TAC13 Intangibles,5
INT0310,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reclassifications,TAC13 Intangibles,5
INT0320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers to/from assets held for sale and assets in disposal groups,TAC13 Intangibles,5
INT0330,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Disposals/derecognition,TAC13 Intangibles,5
INT0340,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer to FT upon authorisation,TAC13 Intangibles,5
INT0350,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Accumulated amortisation at 31 March 2019,TAC13 Intangibles,5
LSP0260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",1. Losses of cash (including cases of fraud),TAC29 Losses+SP,5
LSP0270,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",2. Fruitless payments and constructive losses,TAC29 Losses+SP,5
LSP0280,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",3. Bad debts and claims abandoned,TAC29 Losses+SP,5
LSP0290,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","4. Damage to buildings, property etc.",TAC29 Losses+SP,5
LSP0190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",f. patient referrals outside the UK and EEA Guidelines,TAC29 Losses+SP,5
LSP0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",g. other,TAC29 Losses+SP,5
LSP0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","h. maladministration, no financial loss",TAC29 Losses+SP,5
LSP0220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",8. Special severance payments,TAC29 Losses+SP,5
LSP0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",9. Extra statutory and regulatory,TAC29 Losses+SP,5
LSP0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total special payments,TAC29 Losses+SP,5
